Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,sentiment
2202,enalapril,4,Highly Effective,Mild Side Effects,management of congestive heart failure,"slowed the progression of left ventricular dysfunction into overt heart failure 
alone or with other agents in the managment of hypertension 
mangagement of congestive heart failur","cough, hypotension , proteinuria, impotence , renal failure , angina pectoris , tachycardia , eosinophilic pneumonitis, tastes disturbances , anusease anorecia , weakness fatigue insominca weakness","monitor blood pressure , weight and asses for resolution of fluid",0
3117,ortho-tri-cyclen,1,Highly Effective,Severe Side Effects,birth prevention,although this type of birth control has more cons than pros it did help with my cramps its also effective with the prevention of pregnancy along with use of condoms as well,"Heavy Cycle, Cramps, Hot Flashes, Fatigue, Long Lasting Cycles. It's only been 5 1/2 months, but i'm concidering changing to a different bc. This is my first time using any kind of bc, unfortunately due to the constant hassel, i'm not happy with the results.","I Hate This Birth Control, I Would Not Suggest This To Anyone.",0
1146,ponstel,10,Highly Effective,No Side Effects,menstrual cramps,i was used to having cramps so badly that they would leave me balled up in bed for at least  days  the ponstel doesnt take the pain away completely but takes the edge off so much that normal activities were possible definitely a miracle medication,Heavier bleeding and clotting than normal.,"I took 2 pills at the onset of my menstrual cramps and then every 8-12 hours took 1 pill as needed for about 3-4 days until cramps were over. If cramps are bad, make sure to take every 8 hours on the dot because the medication stops working suddenly and unfortunately takes about an hour to an hour and a half to kick back in.. if cramps are only moderate, taking every 12 hours is okay.",1
3947,prilosec,3,Marginally Effective,Mild Side Effects,acid reflux,the acid reflux went away for a few months after just a few days of being on the drug the heartburn started again as soon as i stopped taking it so i began treatment again  months passed and i stopped taking it the heartburn came back and seemed worse even the doctor said i should try another  month treatment i did and the same exact thing happened this went on for about three years i asked why this wasnt curing my reflux the doctor quite frankly told me that it wasnt a cure but a treatment for the symptoms i was told that i would probably be on it for the rest of my life,"Constipation, dry mouth and some mild dizziness that would go away after medication was stopped for a few days.","I was given Prilosec prescription at a dose of 45mg per day. Medication was taken once, every morning before eating. Each treatment duration was for 6 months.",0
1951,lyrica,2,Marginally Effective,Severe Side Effects,fibromyalgia,i think that the lyrica was starting to help with the pain but the sideeffects were just too severe to continue,I felt extremely drugged and dopey.  Could not drive at all while on this med.  Also had extreme ankle and feet swelling and couldn't even wear shoes.,See above,0
2372,propecia,1,Ineffective,Severe Side Effects,hair loss,after taking propecia for over a year starting when i was  years of age my hair continued to thin and i noticed no significant benefits,"Low sex drive, before i started taking this drug i was 19 years of age and full of ""enthousiasm"". Now engaged and 21 years old, my sex drive is very low, my wife and I are very unsatisfied. I am also very tired even during peak hours throughout the day, and its hard to concentrate on mundain tasks",one pill once daily,0
1043,vyvanse,9,Highly Effective,Mild Side Effects,add,my mood has noticably improved i have more energy experience better sleep and digestion,"a few experiences of nausiea, heavy moodswings on the days I do not take it, decreased appetite, and some negative affect on my short-term memory.",I had began taking 20mg of Vyvanse for three months and was surprised to find that such a small dose affected my mood so effectively.  When it came to school work though I found that I needed the 30mg to increase my level of focus (and have been on it for a month since).  I had not experienced decreased appetite until about a month into taking the 20mg.  I find that the greatest benefit of Vyvanse for me is that it tends to stabalize my mood on a daily basis and lessens any bouts of anxiety and depression that i used to face before I was perscribed.,1
2715,elavil,10,Considerably Effective,No Side Effects,depression,although this drug was originally prescribed for depression it helped with sleeplessness therefore i have continued to take it for that alone while i still on occasion have problems falling asleep i find i can combine it with melatonin or valerian in  years i havent had to increase the elavil dosage,None.,"One a day, taken about an hour before bedtime.",1
1591,xanax,10,Highly Effective,No Side Effects,panic disorder,this simply just works fast and without any of the nasty side effects of ssri medicines i wont go into a long story of my panic attacks which i sought help for many years after the fact this just works and it does what its supposed to without any annoying side effects when taken daily it has stopped my panic attacks from starting and thinking patterns that lead to them i find it can also be used as needed along with the daily treatment,"I really don't have any side effects other than the mild but very tolerable issue of taking it 4-5 times a day which isn't an effect but just the way you need to take this. At first, within the first 1 day then couple of weeks after starting, this medicine is broken down by your body fast and you need to adjust your dose. Once I got past the ups and downs of the first week or two of getting this increased from .25 mg - 3 times per day to what I'm on now things are so stable and just smooth.","I first started taking this at 3 times per day with .25 mg pills. I was advised not to take as needed with my panic attacks as that would reinforce the idea of taking a pill when it's needed and not help me work around my anxiety. This is totally true. At first I wished to only take them as needed but with my doctor's advice, he was right. This really does work when you take it daily at 3-5 times per day. This way your body adjusts to what's going on with the panic and makes no association with taking a pill to prevent or stop it, they just don't start in the first place. Yes, I still do have minor attacks and worry episodes here and there but nothing at all like the many years before this. I wish that this extremely helpful medicine would not have such a bad name in media, news and pharmacies. This works wonders and there is no want or need to take more or become and addict. People and doctor's need to  understand more on how to treat someone with something that just WORKS, rather than trying to give them SSRI's which are what the drugs companies push, all for money reasons. And, the doctor's out there who decide that SSRI's are the only option, they need to go back to medical school!",1
1686,claritin,1,Ineffective,Extremely Severe Side Effects,allergies,none  did nothing to help allergies i just had a dryer more painful version of my allergies with new allergiesirritations developing on top of my original ones this stuff is dangerous and the side effects that many people are experiencing are not listed on the package a class action lawsuit needs to happen,I had some horrifying mental and physical side effects. ruined a year of my life.  read this - it mentions everything i dealt with: http://www.askapatient.com/viewrating.asp?drug=19658&name=CLARITIN,took one 10 mg pill nightly.,0
